País,ano,quantidade,valor_usd,produto,tipo
Argentina,1972,35301,26909,Espumantes,Importação
Argentina,1973,39208,20230,Espumantes,Importação
Argentina,1974,2831,3035,Espumantes,Importação
Argentina,1975,11120,5732,Espumantes,Importação
Argentina,1976,0,0,Espumantes,Importação
Argentina,1977,0,0,Espumantes,Importação
Argentina,1978,180,210,Espumantes,Importação
Argentina,1979,13500,16500,Espumantes,Importação
Argentina,1980,0,0,Espumantes,Importação
Argentina,1981,0,0,Espumantes,Importação
Argentina,1982,0,0,Espumantes,Importação
Argentina,1983,0,0,Espumantes,Importação
Argentina,1984,0,0,Espumantes,Importação
Argentina,1985,0,0,Espumantes,Importação
Argentina,1986,270,990,Espumantes,Importação
Argentina,1987,0,0,Espumantes,Importação
Argentina,1988,315,840,Espumantes,Importação
Argentina,1989,5176,15000,Espumantes,Importação
Argentina,1990,4500,20000,Espumantes,Importação
Argentina,1991,24889,83975,Espumantes,Importação
Argentina,1992,7020,18650,Espumantes,Importação
Argentina,1993,17205,63626,Espumantes,Importação
Argentina,1994,8270,32089,Espumantes,Importação
Argentina,1995,17382,68936,Espumantes,Importação
Argentina,1996,567,3110,Espumantes,Importação
Argentina,1997,11139,26864,Espumantes,Importação
Argentina,1998,85497,308165,Espumantes,Importação
Argentina,1999,86940,360596,Espumantes,Importação
Argentina,2000,114511,326156,Espumantes,Importação
Argentina,2001,32464,90851,Espumantes,Importação
Argentina,2002,17096,32807,Espumantes,Importação
Argentina,2003,143659,301329,Espumantes,Importação
Argentina,2004,1008169,2760067,Espumantes,Importação
Argentina,2005,1135922,2943342,Espumantes,Importação
Argentina,2006,1713270,4726606,Espumantes,Importação
Argentina,2007,556320,1441196,Espumantes,Importação
Argentina,2008,1015357,3094003,Espumantes,Importação
Argentina,2009,894550,2730102,Espumantes,Importação
Argentina,2010,1086901,3583463,Espumantes,Importação
Argentina,2011,997492,3818944,Espumantes,Importação
Argentina,2012,963574,3985004,Espumantes,Importação
Argentina,2013,702963,2545215,Espumantes,Importação
Argentina,2014,807366,3221463,Espumantes,Importação
Argentina,2015,490536,1814349,Espumantes,Importação
Argentina,2016,358510,1240249,Espumantes,Importação
Argentina,2017,661857,2249681,Espumantes,Importação
Argentina,2018,706478,2462909,Espumantes,Importação
Argentina,2019,757716,2282614,Espumantes,Importação
Argentina,2020,469547,1304986,Espumantes,Importação
Argentina,2021,723847,2211657,Espumantes,Importação
Argentina,2022,1333420,4123623,Espumantes,Importação
Argentina,2023,839006,2765843,Espumantes,Importação
Austrália,1970,0,0,Espumantes,Importação
Austrália,1971,0,0,Espumantes,Importação
Austrália,1972,0,0,Espumantes,Importação
Austrália,1973,0,0,Espumantes,Importação
Austrália,1974,0,0,Espumantes,Importação
Austrália,1975,0,0,Espumantes,Importação
Austrália,1976,0,0,Espumantes,Importação
Austrália,1977,0,0,Espumantes,Importação
Austrália,1978,0,0,Espumantes,Importação
Austrália,1979,0,0,Espumantes,Importação
Austrália,1980,0,0,Espumantes,Importação
Austrália,1981,0,0,Espumantes,Importação
Austrália,1982,0,0,Espumantes,Importação
Austrália,1983,0,0,Espumantes,Importação
Austrália,1984,0,0,Espumantes,Importação
Austrália,1985,0,0,Espumantes,Importação
Austrália,1986,0,0,Espumantes,Importação
Austrália,1987,0,0,Espumantes,Importação
Austrália,1988,0,0,Espumantes,Importação
Austrália,1989,0,0,Espumantes,Importação
Austrália,1990,0,0,Espumantes,Importação
Austrália,1991,0,0,Espumantes,Importação
Austrália,1992,0,0,Espumantes,Importação
Austrália,1993,0,0,Espumantes,Importação
Austrália,1994,0,0,Espumantes,Importação
Austrália,1995,0,0,Espumantes,Importação
Austrália,1996,0,0,Espumantes,Importação
Austrália,1997,0,0,Espumantes,Importação
Austrália,1998,0,0,Espumantes,Importação
Austrália,1999,0,0,Espumantes,Importação
Austrália,2000,0,0,Espumantes,Importação
Austrália,2001,0,0,Espumantes,Importação
Austrália,2002,1136,7702,Espumantes,Importação
Austrália,2003,0,0,Espumantes,Importação
Austrália,2004,1310,6507,Espumantes,Importação
Austrália,2005,1125,7594,Espumantes,Importação
Austrália,2006,675,3248,Espumantes,Importação
Austrália,2007,855,7491,Espumantes,Importação
Austrália,2008,495,3343,Espumantes,Importação
Austrália,2009,225,2108,Espumantes,Importação
Austrália,2010,0,0,Espumantes,Importação
Austrália,2011,45,174,Espumantes,Importação
Austrália,2012,0,0,Espumantes,Importação
Austrália,2013,30,419,Espumantes,Importação
Austrália,2014,0,0,Espumantes,Importação
Austrália,2015,4967,15439,Espumantes,Importação
Austrália,2016,19182,32115,Espumantes,Importação
Austrália,2017,19198,51731,Espumantes,Importação
Austrália,2018,57917,212199,Espumantes,Importação
Austrália,2019,16701,27592,Espumantes,Importação
Austrália,2020,7426,15190,Espumantes,Importação
Austrália,2021,8062,26208,Espumantes,Importação
Austrália,2022,0,0,Espumantes,Importação
Austrália,2023,3150,10474,Espumantes,Importação
Áustria,1970,0,0,Espumantes,Importação
Áustria,1971,0,0,Espumantes,Importação
Áustria,1972,0,0,Espumantes,Importação
Áustria,1973,0,0,Espumantes,Importação
Áustria,1974,0,0,Espumantes,Importação
Áustria,1975,0,0,Espumantes,Importação
Áustria,1976,0,0,Espumantes,Importação
Áustria,1977,0,0,Espumantes,Importação
Áustria,1978,0,0,Espumantes,Importação
Áustria,1979,0,0,Espumantes,Importação
Áustria,1980,0,0,Espumantes,Importação
Áustria,1981,0,0,Espumantes,Importação
Áustria,1982,0,0,Espumantes,Importação
Áustria,1983,0,0,Espumantes,Importação
Áustria,1984,0,0,Espumantes,Importação
Áustria,1985,0,0,Espumantes,Importação
Áustria,1986,0,0,Espumantes,Importação
Áustria,1987,0,0,Espumantes,Importação
Áustria,1988,0,0,Espumantes,Importação
Áustria,1989,0,0,Espumantes,Importação
Áustria,1990,0,0,Espumantes,Importação
Áustria,1991,0,0,Espumantes,Importação
Áustria,1992,0,0,Espumantes,Importação
Áustria,1993,0,0,Espumantes,Importação
Áustria,1994,0,0,Espumantes,Importação
Áustria,1995,0,0,Espumantes,Importação
Áustria,1996,0,0,Espumantes,Importação
Áustria,1997,0,0,Espumantes,Importação
Áustria,1998,0,0,Espumantes,Importação
Áustria,1999,0,0,Espumantes,Importação
Áustria,2000,0,0,Espumantes,Importação
Áustria,2001,0,0,Espumantes,Importação
Áustria,2002,0,0,Espumantes,Importação
Áustria,2003,0,0,Espumantes,Importação
Áustria,2004,0,0,Espumantes,Importação
Áustria,2005,0,0,Espumantes,Importação
Áustria,2006,0,0,Espumantes,Importação
Áustria,2007,0,0,Espumantes,Importação
Áustria,2008,756,6680,Espumantes,Importação
Áustria,2009,0,0,Espumantes,Importação
Áustria,2010,0,0,Espumantes,Importação
Áustria,2011,0,0,Espumantes,Importação
Áustria,2012,180,1139,Espumantes,Importação
Áustria,2013,720,6050,Espumantes,Importação
Áustria,2014,698,6352,Espumantes,Importação
Áustria,2015,0,0,Espumantes,Importação
Áustria,2016,0,0,Espumantes,Importação
Áustria,2017,0,0,Espumantes,Importação
Áustria,2018,1228,11638,Espumantes,Importação
Áustria,2019,1269,11571,Espumantes,Importação
Áustria,2020,909,9399,Espumantes,Importação
Áustria,2021,90,1434,Espumantes,Importação
Áustria,2022,0,0,Espumantes,Importação
Áustria,2023,882,8833,Espumantes,Importação
Bermudas,1970,0,0,Espumantes,Importação
Bermudas,1971,0,0,Espumantes,Importação
Bermudas,1972,0,0,Espumantes,Importação
Bermudas,1973,0,0,Espumantes,Importação
Bermudas,1974,0,0,Espumantes,Importação
Bermudas,1975,0,0,Espumantes,Importação
Bermudas,1976,0,0,Espumantes,Importação
Bermudas,1977,0,0,Espumantes,Importação
Bermudas,1978,0,0,Espumantes,Importação
Bermudas,1979,0,0,Espumantes,Importação
Bermudas,1980,0,0,Espumantes,Importação
Bermudas,1981,0,0,Espumantes,Importação
Bermudas,1982,0,0,Espumantes,Importação
Bermudas,1983,0,0,Espumantes,Importação
Bermudas,1984,0,0,Espumantes,Importação
Bermudas,1985,0,0,Espumantes,Importação
Bermudas,1986,0,0,Espumantes,Importação
Bermudas,1987,0,0,Espumantes,Importação
Bermudas,1988,0,0,Espumantes,Importação
Bermudas,1989,0,0,Espumantes,Importação
Bermudas,1990,0,0,Espumantes,Importação
Bermudas,1991,0,0,Espumantes,Importação
Bermudas,1992,0,0,Espumantes,Importação
Bermudas,1993,0,0,Espumantes,Importação
Bermudas,1994,0,0,Espumantes,Importação
Bermudas,1995,0,0,Espumantes,Importação
Bermudas,1996,0,0,Espumantes,Importação
Bermudas,1997,0,0,Espumantes,Importação
Bermudas,1998,0,0,Espumantes,Importação
Bermudas,1999,0,0,Espumantes,Importação
Bermudas,2000,0,0,Espumantes,Importação
Bermudas,2001,0,0,Espumantes,Importação
Bermudas,2002,0,0,Espumantes,Importação
Bermudas,2003,0,0,Espumantes,Importação
Bermudas,2004,0,0,Espumantes,Importação
Bermudas,2005,0,0,Espumantes,Importação
Bermudas,2006,0,0,Espumantes,Importação
Bermudas,2007,0,0,Espumantes,Importação
Bermudas,2008,0,0,Espumantes,Importação
Bermudas,2009,0,0,Espumantes,Importação
Bermudas,2010,0,0,Espumantes,Importação
Bermudas,2011,0,0,Espumantes,Importação
Bermudas,2012,0,0,Espumantes,Importação
Bermudas,2013,0,0,Espumantes,Importação
Bermudas,2014,0,0,Espumantes,Importação
Bermudas,2015,0,0,Espumantes,Importação
Bermudas,2016,0,0,Espumantes,Importação
Bermudas,2017,0,0,Espumantes,Importação
Bermudas,2018,0,0,Espumantes,Importação
Bermudas,2019,0,0,Espumantes,Importação
Bermudas,2020,0,0,Espumantes,Importação
Bermudas,2021,70,611,Espumantes,Importação
Bermudas,2022,5,67,Espumantes,Importação
Bermudas,2023,3,54,Espumantes,Importação
Bahamas,1970,0,0,Espumantes,Importação
Bahamas,1971,0,0,Espumantes,Importação
Bahamas,1972,0,0,Espumantes,Importação
Bahamas,1973,0,0,Espumantes,Importação
Bahamas,1974,0,0,Espumantes,Importação
Bahamas,1975,0,0,Espumantes,Importação
Bahamas,1976,0,0,Espumantes,Importação
Bahamas,1977,0,0,Espumantes,Importação
Bahamas,1978,0,0,Espumantes,Importação
Bahamas,1979,0,0,Espumantes,Importação
Bahamas,1980,0,0,Espumantes,Importação
Bahamas,1981,0,0,Espumantes,Importação
Bahamas,1982,0,0,Espumantes,Importação
Bahamas,1983,0,0,Espumantes,Importação
Bahamas,1984,0,0,Espumantes,Importação
Bahamas,1985,0,0,Espumantes,Importação
Bahamas,1986,0,0,Espumantes,Importação
Bahamas,1987,0,0,Espumantes,Importação
Bahamas,1988,0,0,Espumantes,Importação
Bahamas,1989,0,0,Espumantes,Importação
Bahamas,1990,0,0,Espumantes,Importação
Bahamas,1991,0,0,Espumantes,Importação
Bahamas,1992,0,0,Espumantes,Importação
Bahamas,1993,0,0,Espumantes,Importação
Bahamas,1994,0,0,Espumantes,Importação
Bahamas,1995,0,0,Espumantes,Importação
Bahamas,1996,0,0,Espumantes,Importação
Bahamas,1997,0,0,Espumantes,Importação
Bahamas,1998,0,0,Espumantes,Importação
Bahamas,1999,0,0,Espumantes,Importação
Bahamas,2000,0,0,Espumantes,Importação
Bahamas,2001,0,0,Espumantes,Importação
Bahamas,2002,0,0,Espumantes,Importação
Bahamas,2003,0,0,Espumantes,Importação
Bahamas,2004,0,0,Espumantes,Importação
Bahamas,2005,0,0,Espumantes,Importação
Bahamas,2006,0,0,Espumantes,Importação
Bahamas,2007,0,0,Espumantes,Importação
Bahamas,2008,0,0,Espumantes,Importação
Bahamas,2009,0,0,Espumantes,Importação
Bahamas,2010,0,0,Espumantes,Importação
Bahamas,2011,0,0,Espumantes,Importação
Bahamas,2012,0,0,Espumantes,Importação
Bahamas,2013,0,0,Espumantes,Importação
Bahamas,2014,0,0,Espumantes,Importação
Bahamas,2015,73,684,Espumantes,Importação
Bahamas,2016,60,688,Espumantes,Importação
Bahamas,2017,519,11136,Espumantes,Importação
Bahamas,2018,169,2283,Espumantes,Importação
Bahamas,2019,0,0,Espumantes,Importação
Bahamas,2020,0,0,Espumantes,Importação
Bahamas,2021,0,0,Espumantes,Importação
Bahamas,2022,0,0,Espumantes,Importação
Bahamas,2023,0,0,Espumantes,Importação
Bélgica,1970,0,0,Espumantes,Importação
Bélgica,1971,0,0,Espumantes,Importação
Bélgica,1972,0,0,Espumantes,Importação
Bélgica,1973,0,0,Espumantes,Importação
Bélgica,1974,0,0,Espumantes,Importação
Bélgica,1975,0,0,Espumantes,Importação
Bélgica,1976,0,0,Espumantes,Importação
Bélgica,1977,0,0,Espumantes,Importação
Bélgica,1978,0,0,Espumantes,Importação
Bélgica,1979,0,0,Espumantes,Importação
Bélgica,1980,0,0,Espumantes,Importação
Bélgica,1981,0,0,Espumantes,Importação
Bélgica,1982,0,0,Espumantes,Importação
Bélgica,1983,0,0,Espumantes,Importação
Bélgica,1984,0,0,Espumantes,Importação
Bélgica,1985,0,0,Espumantes,Importação
Bélgica,1986,0,0,Espumantes,Importação
Bélgica,1987,0,0,Espumantes,Importação
Bélgica,1988,0,0,Espumantes,Importação
Bélgica,1989,0,0,Espumantes,Importação
Bélgica,1990,0,0,Espumantes,Importação
Bélgica,1991,0,0,Espumantes,Importação
Bélgica,1992,0,0,Espumantes,Importação
Bélgica,1993,0,0,Espumantes,Importação
Bélgica,1994,0,0,Espumantes,Importação
Bélgica,1995,0,0,Espumantes,Importação
Bélgica,1996,0,0,Espumantes,Importação
Bélgica,1997,0,0,Espumantes,Importação
Bélgica,1998,0,0,Espumantes,Importação
Bélgica,1999,0,0,Espumantes,Importação
Bélgica,2000,0,0,Espumantes,Importação
Bélgica,2001,0,0,Espumantes,Importação
Bélgica,2002,0,0,Espumantes,Importação
Bélgica,2003,0,0,Espumantes,Importação
Bélgica,2004,0,0,Espumantes,Importação
Bélgica,2005,0,0,Espumantes,Importação
Bélgica,2006,0,0,Espumantes,Importação
Bélgica,2007,0,0,Espumantes,Importação
Bélgica,2008,0,0,Espumantes,Importação
Bélgica,2009,0,0,Espumantes,Importação
Bélgica,2010,0,0,Espumantes,Importação
Bélgica,2011,0,0,Espumantes,Importação
Bélgica,2012,0,0,Espumantes,Importação
Bélgica,2013,0,0,Espumantes,Importação
Bélgica,2014,0,0,Espumantes,Importação
Bélgica,2015,0,0,Espumantes,Importação
Bélgica,2016,0,0,Espumantes,Importação
Bélgica,2017,923,50574,Espumantes,Importação
Bélgica,2018,0,0,Espumantes,Importação
