País,ano,quantidade,valor_usd,produto,tipo
Alemanha,2020,0,0,Suco de Uva,Importação
Alemanha,2021,0,0,Suco de Uva,Importação
Alemanha,2022,0,0,Suco de Uva,Importação
Alemanha,2023,0,0,Suco de Uva,Importação
Argentina,1970,0,0,Suco de Uva,Importação
Argentina,1971,0,0,Suco de Uva,Importação
Argentina,1972,0,0,Suco de Uva,Importação
Argentina,1973,3600,1350,Suco de Uva,Importação
Argentina,1974,10200,3500,Suco de Uva,Importação
Argentina,1975,6,5,Suco de Uva,Importação
Argentina,1976,0,0,Suco de Uva,Importação
Argentina,1977,0,0,Suco de Uva,Importação
Argentina,1978,2790,2850,Suco de Uva,Importação
Argentina,1979,0,0,Suco de Uva,Importação
Argentina,1980,0,0,Suco de Uva,Importação
Argentina,1981,0,0,Suco de Uva,Importação
Argentina,1982,0,0,Suco de Uva,Importação
Argentina,1983,0,0,Suco de Uva,Importação
Argentina,1984,0,0,Suco de Uva,Importação
Argentina,1985,0,0,Suco de Uva,Importação
Argentina,1986,1575080,713219,Suco de Uva,Importação
Argentina,1987,2452094,3673253,Suco de Uva,Importação
Argentina,1988,224130,163512,Suco de Uva,Importação
Argentina,1989,1901597,1339369,Suco de Uva,Importação
Argentina,1990,1875689,1367706,Suco de Uva,Importação
Argentina,1991,506860,499644,Suco de Uva,Importação
Argentina,1992,10200,6800,Suco de Uva,Importação
Argentina,1993,2950,3540,Suco de Uva,Importação
Argentina,1994,0,0,Suco de Uva,Importação
Argentina,1995,708655,549282,Suco de Uva,Importação
Argentina,1996,1050503,830357,Suco de Uva,Importação
Argentina,1997,2796195,2428563,Suco de Uva,Importação
Argentina,1998,2057726,1994801,Suco de Uva,Importação
Argentina,1999,2003660,1845406,Suco de Uva,Importação
Argentina,2000,2022110,1659478,Suco de Uva,Importação
Argentina,2001,1379960,869223,Suco de Uva,Importação
Argentina,2002,0,0,Suco de Uva,Importação
Argentina,2003,2237000,994132,Suco de Uva,Importação
Argentina,2004,850000,658747,Suco de Uva,Importação
Argentina,2005,974970,870222,Suco de Uva,Importação
Argentina,2006,1775000,1535250,Suco de Uva,Importação
Argentina,2007,1297680,1095590,Suco de Uva,Importação
Argentina,2008,0,0,Suco de Uva,Importação
Argentina,2009,0,0,Suco de Uva,Importação
Argentina,2010,108000,138240,Suco de Uva,Importação
Argentina,2011,0,0,Suco de Uva,Importação
Argentina,2012,0,0,Suco de Uva,Importação
Argentina,2013,0,0,Suco de Uva,Importação
Argentina,2014,0,0,Suco de Uva,Importação
Argentina,2015,0,0,Suco de Uva,Importação
Argentina,2016,59028,80898,Suco de Uva,Importação
Argentina,2017,72900,90518,Suco de Uva,Importação
Argentina,2018,2998,3139,Suco de Uva,Importação
Argentina,2019,0,0,Suco de Uva,Importação
Argentina,2020,0,0,Suco de Uva,Importação
Argentina,2021,0,0,Suco de Uva,Importação
Argentina,2022,0,0,Suco de Uva,Importação
Argentina,2023,0,0,Suco de Uva,Importação
Austria,1970,0,0,Suco de Uva,Importação
Austria,1971,0,0,Suco de Uva,Importação
Austria,1972,0,0,Suco de Uva,Importação
Austria,1973,0,0,Suco de Uva,Importação
Austria,1974,0,0,Suco de Uva,Importação
Austria,1975,0,0,Suco de Uva,Importação
Austria,1976,0,0,Suco de Uva,Importação
Austria,1977,0,0,Suco de Uva,Importação
Austria,1978,0,0,Suco de Uva,Importação
Austria,1979,0,0,Suco de Uva,Importação
Austria,1980,0,0,Suco de Uva,Importação
Austria,1981,0,0,Suco de Uva,Importação
Austria,1982,0,0,Suco de Uva,Importação
Austria,1983,0,0,Suco de Uva,Importação
Austria,1984,0,0,Suco de Uva,Importação
Austria,1985,0,0,Suco de Uva,Importação
Austria,1986,0,0,Suco de Uva,Importação
Austria,1987,0,0,Suco de Uva,Importação
Austria,1988,0,0,Suco de Uva,Importação
Austria,1989,0,0,Suco de Uva,Importação
Austria,1990,0,0,Suco de Uva,Importação
Austria,1991,0,0,Suco de Uva,Importação
Austria,1992,0,0,Suco de Uva,Importação
Austria,1993,0,0,Suco de Uva,Importação
Austria,1994,0,0,Suco de Uva,Importação
Austria,1995,1200,348,Suco de Uva,Importação
Austria,1996,0,0,Suco de Uva,Importação
Austria,1997,0,0,Suco de Uva,Importação
Austria,1998,35210,16029,Suco de Uva,Importação
Austria,1999,0,0,Suco de Uva,Importação
Austria,2000,0,0,Suco de Uva,Importação
Austria,2001,0,0,Suco de Uva,Importação
Austria,2002,0,0,Suco de Uva,Importação
Austria,2003,0,0,Suco de Uva,Importação
Austria,2004,0,0,Suco de Uva,Importação
Austria,2005,0,0,Suco de Uva,Importação
Austria,2006,0,0,Suco de Uva,Importação
Austria,2007,0,0,Suco de Uva,Importação
Austria,2008,0,0,Suco de Uva,Importação
Austria,2009,0,0,Suco de Uva,Importação
Austria,2010,0,0,Suco de Uva,Importação
Austria,2011,3264,3254,Suco de Uva,Importação
Austria,2012,0,0,Suco de Uva,Importação
Austria,2013,0,0,Suco de Uva,Importação
Austria,2014,0,0,Suco de Uva,Importação
Austria,2015,0,0,Suco de Uva,Importação
Austria,2016,0,0,Suco de Uva,Importação
Austria,2017,1333,1467,Suco de Uva,Importação
Austria,2018,0,0,Suco de Uva,Importação
Austria,2019,666,655,Suco de Uva,Importação
Austria,2020,0,0,Suco de Uva,Importação
Austria,2021,0,0,Suco de Uva,Importação
Austria,2022,0,0,Suco de Uva,Importação
Austria,2023,0,0,Suco de Uva,Importação
Canadá,1970,0,0,Suco de Uva,Importação
Canadá,1971,0,0,Suco de Uva,Importação
Canadá,1972,0,0,Suco de Uva,Importação
Canadá,1973,0,0,Suco de Uva,Importação
Canadá,1974,0,0,Suco de Uva,Importação
Canadá,1975,0,0,Suco de Uva,Importação
Canadá,1976,0,0,Suco de Uva,Importação
Canadá,1977,0,0,Suco de Uva,Importação
Canadá,1978,0,0,Suco de Uva,Importação
Canadá,1979,0,0,Suco de Uva,Importação
Canadá,1980,0,0,Suco de Uva,Importação
Canadá,1981,0,0,Suco de Uva,Importação
Canadá,1982,0,0,Suco de Uva,Importação
Canadá,1983,0,0,Suco de Uva,Importação
Canadá,1984,0,0,Suco de Uva,Importação
Canadá,1985,0,0,Suco de Uva,Importação
Canadá,1986,0,0,Suco de Uva,Importação
Canadá,1987,0,0,Suco de Uva,Importação
Canadá,1988,30,233,Suco de Uva,Importação
Canadá,1989,0,0,Suco de Uva,Importação
Canadá,1990,0,0,Suco de Uva,Importação
Canadá,1991,0,0,Suco de Uva,Importação
Canadá,1992,0,0,Suco de Uva,Importação
Canadá,1993,0,0,Suco de Uva,Importação
Canadá,1994,19728,4558,Suco de Uva,Importação
Canadá,1995,26404,12195,Suco de Uva,Importação
Canadá,1996,21665,8124,Suco de Uva,Importação
Canadá,1997,995,691,Suco de Uva,Importação
Canadá,1998,0,0,Suco de Uva,Importação
Canadá,1999,0,0,Suco de Uva,Importação
Canadá,2000,0,0,Suco de Uva,Importação
Canadá,2001,0,0,Suco de Uva,Importação
Canadá,2002,0,0,Suco de Uva,Importação
Canadá,2003,0,0,Suco de Uva,Importação
Canadá,2004,0,0,Suco de Uva,Importação
Canadá,2005,0,0,Suco de Uva,Importação
Canadá,2006,0,0,Suco de Uva,Importação
Canadá,2007,0,0,Suco de Uva,Importação
Canadá,2008,0,0,Suco de Uva,Importação
Canadá,2009,0,0,Suco de Uva,Importação
Canadá,2010,0,0,Suco de Uva,Importação
Canadá,2011,0,0,Suco de Uva,Importação
Canadá,2012,0,0,Suco de Uva,Importação
Canadá,2013,0,0,Suco de Uva,Importação
Canadá,2014,0,0,Suco de Uva,Importação
Canadá,2015,0,0,Suco de Uva,Importação
Canadá,2016,0,0,Suco de Uva,Importação
Canadá,2017,0,0,Suco de Uva,Importação
Canadá,2018,0,0,Suco de Uva,Importação
Canadá,2019,0,0,Suco de Uva,Importação
Canadá,2020,0,0,Suco de Uva,Importação
Canadá,2021,0,0,Suco de Uva,Importação
Canadá,2022,0,0,Suco de Uva,Importação
Canadá,2023,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1970,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1971,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1972,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1973,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1974,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1975,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1976,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1977,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1978,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1979,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1980,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1981,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1982,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1983,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1984,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1985,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1986,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1987,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1988,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1989,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1990,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1991,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1992,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1993,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1994,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1995,158204,117269,Suco de Uva,Importação
"Coreia do Sul, República",1996,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1997,0,0,Suco de Uva,Importação
"Coreia do Sul, República",1998,303420,250582,Suco de Uva,Importação
"Coreia do Sul, República",1999,112762,90300,Suco de Uva,Importação
"Coreia do Sul, República",2000,5141,1800,Suco de Uva,Importação
"Coreia do Sul, República",2001,8255,2645,Suco de Uva,Importação
"Coreia do Sul, República",2002,0,0,Suco de Uva,Importação
"Coreia do Sul, República",2003,5400,2145,Suco de Uva,Importação
"Coreia do Sul, República",2004,4805,1344,Suco de Uva,Importação
"Coreia do Sul, República",2005,7379,2365,Suco de Uva,Importação
"Coreia do Sul, República",2006,0,0,Suco de Uva,Importação
"Coreia do Sul, República",2007,0,0,Suco de Uva,Importação
"Coreia do Sul, República",2008,735,270,Suco de Uva,Importação
"Coreia do Sul, República",2009,16661,17249,Suco de Uva,Importação
"Coreia do Sul, República",2010,15080,18097,Suco de Uva,Importação
"Coreia do Sul, República",2011,130902,136380,Suco de Uva,Importação
"Coreia do Sul, República",2012,542548,577061,Suco de Uva,Importação
"Coreia do Sul, República",2013,176796,227252,Suco de Uva,Importação
"Coreia do Sul, República",2014,12655,14784,Suco de Uva,Importação
"Coreia do Sul, República",2015,85145,49712,Suco de Uva,Importação
"Coreia do Sul, República",2016,30022,44524,Suco de Uva,Importação
"Coreia do Sul, República",2017,28927,41276,Suco de Uva,Importação
"Coreia do Sul, República",2018,77955,99441,Suco de Uva,Importação
"Coreia do Sul, República",2019,0,0,Suco de Uva,Importação
"Coreia do Sul, República",2020,0,0,Suco de Uva,Importação
"Coreia do Sul, República",2021,0,0,Suco de Uva,Importação
"Coreia do Sul, República",2022,0,0,Suco de Uva,Importação
"Coreia do Sul, República",2023,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1970,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1971,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1972,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1973,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1974,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1975,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1976,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1977,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1978,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1979,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1980,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1981,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1982,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1983,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1984,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1985,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1986,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1987,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1988,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1989,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1990,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1991,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1992,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1993,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1994,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1995,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1996,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1997,0,0,Suco de Uva,Importação
"Coreia do Norte, República",1998,56000,49405,Suco de Uva,Importação
"Coreia do Norte, República",1999,25100,20413,Suco de Uva,Importação
"Coreia do Norte, República",2000,11560,9062,Suco de Uva,Importação
"Coreia do Norte, República",2001,19071,8389,Suco de Uva,Importação
"Coreia do Norte, República",2002,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2003,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2004,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2005,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2006,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2007,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2008,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2009,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2010,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2011,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2012,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2013,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2014,16704,24698,Suco de Uva,Importação
"Coreia do Norte, República",2015,15651,22621,Suco de Uva,Importação
"Coreia do Norte, República",2016,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2017,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2018,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2019,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2020,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2021,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2022,0,0,Suco de Uva,Importação
"Coreia do Norte, República",2023,0,0,Suco de Uva,Importação
Chile,1970,0,0,Suco de Uva,Importação
Chile,1971,0,0,Suco de Uva,Importação
Chile,1972,0,0,Suco de Uva,Importação
Chile,1973,0,0,Suco de Uva,Importação
Chile,1974,0,0,Suco de Uva,Importação
Chile,1975,0,0,Suco de Uva,Importação
Chile,1976,0,0,Suco de Uva,Importação
Chile,1977,0,0,Suco de Uva,Importação
Chile,1978,0,0,Suco de Uva,Importação
Chile,1979,0,0,Suco de Uva,Importação
Chile,1980,0,0,Suco de Uva,Importação
Chile,1981,0,0,Suco de Uva,Importação
Chile,1982,0,0,Suco de Uva,Importação
Chile,1983,0,0,Suco de Uva,Importação
Chile,1984,0,0,Suco de Uva,Importação
Chile,1985,0,0,Suco de Uva,Importação
Chile,1986,0,0,Suco de Uva,Importação
Chile,1987,0,0,Suco de Uva,Importação
Chile,1988,0,0,Suco de Uva,Importação
Chile,1989,0,0,Suco de Uva,Importação
Chile,1990,100000,79000,Suco de Uva,Importação
Chile,1991,100000,82500,Suco de Uva,Importação
Chile,1992,0,0,Suco de Uva,Importação
Chile,1993,5050,2940,Suco de Uva,Importação
Chile,1994,158480,101920,Suco de Uva,Importação
Chile,1995,563267,423616,Suco de Uva,Importação
Chile,1996,476840,374322,Suco de Uva,Importação
Chile,1997,118194,133715,Suco de Uva,Importação
Chile,1998,0,0,Suco de Uva,Importação
Chile,1999,136,253,Suco de Uva,Importação
Chile,2000,0,0,Suco de Uva,Importação
Chile,2001,1391570,1502228,Suco de Uva,Importação
Chile,2002,27000,28350,Suco de Uva,Importação
Chile,2003,0,0,Suco de Uva,Importação
Chile,2004,0,0,Suco de Uva,Importação
Chile,2005,0,0,Suco de Uva,Importação
Chile,2006,0,0,Suco de Uva,Importação
Chile,2007,225000,292500,Suco de Uva,Importação
Chile,2008,100000,130000,Suco de Uva,Importação
Chile,2009,0,0,Suco de Uva,Importação
Chile,2010,1015000,3003445,Suco de Uva,Importação
Chile,2011,0,0,Suco de Uva,Importação
Chile,2012,0,0,Suco de Uva,Importação
Chile,2013,0,0,Suco de Uva,Importação
Chile,2014,0,0,Suco de Uva,Importação
Chile,2015,23790,29024,Suco de Uva,Importação
Chile,2016,94940,183525,Suco de Uva,Importação
Chile,2017,0,0,Suco de Uva,Importação
Chile,2018,0,0,Suco de Uva,Importação
Chile,2019,0,0,Suco de Uva,Importação
Chile,2020,0,0,Suco de Uva,Importação
Chile,2021,0,0,Suco de Uva,Importação
Chile,2022,0,0,Suco de Uva,Importação
Chile,2023,0,0,Suco de Uva,Importação
China,1970,0,0,Suco de Uva,Importação
China,1971,0,0,Suco de Uva,Importação
China,1972,0,0,Suco de Uva,Importação
China,1973,0,0,Suco de Uva,Importação
China,1974,0,0,Suco de Uva,Importação
China,1975,0,0,Suco de Uva,Importação
China,1976,0,0,Suco de Uva,Importação
China,1977,0,0,Suco de Uva,Importação
China,1978,0,0,Suco de Uva,Importação
China,1979,0,0,Suco de Uva,Importação
China,1980,0,0,Suco de Uva,Importação
China,1981,0,0,Suco de Uva,Importação
China,1982,0,0,Suco de Uva,Importação
China,1983,0,0,Suco de Uva,Importação
China,1984,0,0,Suco de Uva,Importação
